study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB20380	SAMEA103972802	ERX1982307	ERR1924580	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924580/ERR1924580.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924580/ERR1924580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924580/ERR1924580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924580/Sample15_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924580/Sample15_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/000/ERR1924580
PRJEB20380	SAMEA103972802	ERX1982308	ERR1924581	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924581/ERR1924581.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924581/ERR1924581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924581/ERR1924581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924581/Sample15_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924581/Sample15_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/001/ERR1924581
PRJEB20380	SAMEA103972802	ERX1982310	ERR1924583	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924583/ERR1924583.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924583/ERR1924583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924583/ERR1924583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924583/Sample15_4_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924583/Sample15_4_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/003/ERR1924583
PRJEB20380	SAMEA103972803	ERX1982311	ERR1924584	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924584/ERR1924584.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924584/ERR1924584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924584/ERR1924584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924584/Sample16_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924584/Sample16_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/004/ERR1924584
PRJEB20380	SAMEA103972803	ERX1982312	ERR1924585	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924585/ERR1924585.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924585/ERR1924585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924585/ERR1924585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924585/Sample16_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924585/Sample16_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/005/ERR1924585
PRJEB20380	SAMEA103972803	ERX1982313	ERR1924586	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924586/ERR1924586.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924586/ERR1924586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924586/ERR1924586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924586/Sample16_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924586/Sample16_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/006/ERR1924586
PRJEB20380	SAMEA103972804	ERX1982316	ERR1924589	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924589/ERR1924589.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924589/ERR1924589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/009/ERR1924589/ERR1924589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924589/Sample18_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924589/Sample18_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/009/ERR1924589
PRJEB20380	SAMEA103972804	ERX1982317	ERR1924590	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924590/ERR1924590.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924590/ERR1924590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924590/ERR1924590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924590/Sample18_4_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924590/Sample18_4_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/000/ERR1924590
PRJEB20380	SAMEA103972804	ERX1982318	ERR1924591	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924591/ERR1924591.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924591/ERR1924591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/001/ERR1924591/ERR1924591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924591/Sample18_5_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924591/Sample18_5_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/001/ERR1924591
PRJEB20380	SAMEA103972805	ERX1982321	ERR1924594	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924594/ERR1924594.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924594/ERR1924594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/004/ERR1924594/ERR1924594_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924594/Sample19_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924594/Sample19_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/004/ERR1924594
PRJEB20380	SAMEA103972805	ERX1982322	ERR1924595	1436733	rat gut metagenome		ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924595/Sample19_4_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924595/Sample19_4_paired.Q20.R2.fq.gz	
PRJEB20380	SAMEA103972806	ERX1982324	ERR1924597	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924597/ERR1924597.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924597/ERR1924597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924597/ERR1924597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924597/Sample20_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924597/Sample20_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/007/ERR1924597
PRJEB20380	SAMEA103972806	ERX1982325	ERR1924598	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924598/ERR1924598.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924598/ERR1924598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/008/ERR1924598/ERR1924598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924598/Sample20_3_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924598/Sample20_3_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/008/ERR1924598
PRJEB20380	SAMEA103972806	ERX1982327	ERR1924600	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924600/ERR1924600.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924600/ERR1924600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/000/ERR1924600/ERR1924600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924600/Sample20_5_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924600/Sample20_5_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/000/ERR1924600
PRJEB20380	SAMEA103972807	ERX1982329	ERR1924602	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924602/ERR1924602.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924602/ERR1924602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/002/ERR1924602/ERR1924602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924602/Sample22_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924602/Sample22_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/002/ERR1924602
PRJEB20380	SAMEA103972807	ERX1982330	ERR1924603	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924603/ERR1924603.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924603/ERR1924603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/003/ERR1924603/ERR1924603_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924603/Sample22_2_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924603/Sample22_2_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/003/ERR1924603
PRJEB20380	SAMEA103972807	ERX1982332	ERR1924605	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924605/ERR1924605.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924605/ERR1924605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/005/ERR1924605/ERR1924605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924605/Sample22_4_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924605/Sample22_4_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/005/ERR1924605
PRJEB20380	SAMEA103972807	ERX1982333	ERR1924606	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924606/ERR1924606.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924606/ERR1924606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/006/ERR1924606/ERR1924606_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924606/Sample22_5_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924606/Sample22_5_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/006/ERR1924606
PRJEB20380	SAMEA103972808	ERX1982334	ERR1924607	1436733	rat gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924607/ERR1924607.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924607/ERR1924607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR192/007/ERR1924607/ERR1924607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924607/Sample23_1_paired.Q20.R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR192/ERR1924607/Sample23_1_paired.Q20.R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR192/007/ERR1924607
